Nombre,Empresa,Tecnología,Fase,Combustible,Matriz,Sector,Fecha operación,Capacidad (MW),Generación (GWh),Inversión (mdd),Modalidad,Entidad,Permiso CRE,MIA,Aprobación MIA,Notas,X,Y
CC El Clerigo (Tamazunchale II),CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2022,514,4427,400,Generación,San Luis Potosí,E/2046/GEN/2018,24SL2016E0030,Autorizado condicionado,La capacidad del permiso es de 532 MW. La capacidad interconectada a la red es de 514. Será operada por CFE a partir de la venta de la central a un fideicomiso donde FONDIN tiene la mayoría del capital.,-10993876.666230692,2429247.4495594534
CC Empalme I,Generacion VI,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2019,783.57,4359.03,884.1,Generación,Sonora,E/1954/GEN/2017,26SO2014E0015,Autorizado condicionado,,-12332026.444210047,3239652.470389228
CC Empalme II,Generacion III,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2019,807.24,6882.11,725.3,Generación,Sonora,E/1983/GEN/2017,26SO2014E0015,Autorizado condicionado,,-12332304.573731404,3239732.1156768473
CC EVM II,EVM Enegria del Valle de Mexico S.A.P.I. de C.V.,Ciclo Combinado,En operación,Gas Natural,EVM Energía,Privado,2021,850,7148.15,875.7,Generación,Estado de México,E/1985/GEN/2017,15EM2017E0099,Autorizado,,-10984408.078586278,2243019.5647562235
CC Gomez Palacio,CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,1976,239.8,875.11,243.11,Generación,Durango,E/1695/GEN/2015,,No encontrado,,-11518776.796881549,2948961.460834691
CC Hermosillo,CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,1998,227.02,1512.89,230.15,Generación,Sonora,E/1693/GEN/2015,26SO2002E0006,Autorizado,,-12338105.180814592,3379860.3009507386
CC Hermosillo (GEN),Fuerza y Energia de Hermosillo S.A. de C.V.,Ciclo Combinado,En operación,Gas Natural,Naturgy Energy Group S.A.,Privado,2018,13.5,31.3,3.75,Generación,Sonora,E/2096/GEN/2018,,No encontrado,,-12367246.40713321,3387725.0561108114
CC Huinalá  (GEN),Central Geeneradora electrica Huinalá S. De R.L. De C.V,Ciclo Combinado,En operación,Gas Natural,Wärtsilä,Privado,2018,22.5,1224.62,131.81,Generación,Nuevo León,E/1925/GEN/2017,19NL2013E0008,Autorizado condicionado,,-11138399.115414275,2967579.6260769847
Pemcorp Energy,"Pemcorp Energy, S. A. P. I. de C. V.",Combustión interna,En operación,Gas Natural,EDPO LLC,Privado,2018,131.72,1154,148.5,Generación,Nuevo León,E/1964/GEN/2017,19NL2018E0111,Autorizado condicionado,,-11138292.194156563,2967571.4828899847
CC Huinala I,CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,1981,378,null,null,Generación,Nuevo León,E/1692/GEN/2015,,No encontrado,,-11143203.320659686,2964358.0905353087
CC Huinala II (Monterey II),CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2000,459,null,null,Generación,Nuevo León,E/1692/GEN/2015,,No encontrado,,-11143257.308386331,2964450.4164931965
CTG Huinala,CFE,Turbina de Gas,En operación,Gas Natural,CFE,Público,1981,150,null,null,Generación,Nuevo León,E/1692/GEN/2015,,No encontrado,,-11143387.27611822,2964672.205779151
CC GP Energa,Grupo Ponce Desarrollos (GP),Ciclo Combinado,En proyecto con permiso de la CRE terminado,Gas Natural,Grupo Ponce Desarrollos (GP),Privado,null,240,2000,275.5,Generación,Nuevo León,E/1558/GEN/2015,,No encontrado,,-11150517.619009223,2975140.91427769
Cobielec,"Cobielec, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Cobielec, S. A. de C. V.",Privado,2005,2.8,20.1,2.52,Cogeneración,Puebla,E/339/COG/2005,,No encontrado,,-10926773.676817479,2162725.5558441817
CC Huinalá  (EXP),Central Geeneradora electrica Huinalá S. De R.L. De C.V,Ciclo Combinado,En operación,Gas Natural,Wärtsilä,Privado,2016,120.15,1027.52,111.02,Exportación,Nuevo León,E/1255/EXP/2014,19NL2013E0008,Autorizado condicionado,,-11138386.756724408,2967623.28223799
CC Baja California Sur (Fase II),CFE Generacion III,Ciclo Combinado,En proyecto con permiso de la CRE,Gas Natural,CFE,Público,null,352,2638.51,579.55,Generación,Baja California Sur,E/1659/GEN/2015,03BS2020E0005,Autorizado condicionado,,-12279591.814818023,2780797.187210963
CC Rio Bravo III (PIE),Central Lomas de Real S.A de C.V.,Ciclo Combinado,En operación,Gas Natural,Mitsui,Privado,2004,495,4115,529.2,Productor Independiente de Energía,Tamaulipas,E/198/PIE/2001,28TM2001E0009,Autorizado condicionado,La CRE señala 522 MW de capacidad y la CFE 495 MW de Capacidad Neta Demostrada,-10885082.262163758,2974243.0783263906
